date,review,score
2019-08-30,"가야는이유 : 점심시간 인근 직장인 집합소 안가는이유 : 개인적 입맛에 안맞는  장꼬방찌개 : 묵은지 찌개이나 고기와 김치 대비 국물이 많고, 간장 짠맛 같은게 많이 느껴짐, 공덕 김치찌개가 더 나았음 계란말이 : 두툼하고 부드러워 괜찮으나 가격은 살짝 있는 느낌 불고기 : 탄맛이 너무 많이 남, 탄내도 괴로움",3
2019-08-21,최고예요,5
2019-08-08,김치찌개가 생각나서 자주 오게됨,5
2019-07-24,맛있는곳인데 예전같지 않은건 사실.,3
2019-06-27,몇년부터 단골이다가 해외근무로 한 4년만에 갔는데 줄서서 먹어야 하는 집이 되었군요. 무말랭이 반찬 없어진건 이해합니다. 가격을 8천원으로 올린것도 이해합니다. 근데 8천원짜리 찌개 전체에 돼지고기가 저만큼 들은건 양심이 없는 것 아닌가요. 초심을 잃지 않았으면 합니다. ,2
2019-06-05,최고예요,5
2019-05-19,고기구이 접시 설거지가 안된 듯. 철판에 눌러붙은 검댕이는 젓가락으로 긁어봐도 안긁히는게 꽤 오래된 듯. 물론 그런 접시 위의 고기가 맛있을리도 없음. 김치찌개는 집에서 끓여먹는 것보다 맛없어서 충격. 내가 요리를 잘하는 편도 아니라서 더 충격. 2만5천원 내고 계란말이에 김 싸먹고 나옴. ,1
2019-05-19,블로그 후기 보고 갔는데 고기에서 쓴맛 탓맛 우웩 다시 안가요.,1
2019-05-02,보통이에요,3
2019-04-19,좋아요,4
2019-03-31,집이 근처라 포장하려고 난 들어가고 와이프는 밖에서 아기안고 유모차대놓고 기다리고 있었는데 차 주차해야 한다고 비키라고 하는데 너무 무례하게 이야기 한다.. 기분이 너무 안좋다 같은 고객인데 포장은 고객아닌가? 동네 장사하면서 발렛하는 놈들 이렇게 불친절하면 안된다고 생각한다 ,1
2019-03-24,"회사 근처라 여기서 점심을 종종 먹는데 맛있는지 모르겠다.  그리고 이게 8,000원의 값어치를 하는지도 의문이고",1
2019-02-21,김치찌개에 고기가 서너개라니.. 용서가 안됩니다. 구수한 숭늉 기대했는데 탄 밥을 다 넣어버렸는지 탄맛 너무 나네요. 망실망실,1
2018-11-03,보통이에요,3
2018-10-07,진짜 맛있음 되게 깊은 김치찌개 맛..!! 음식도 엄청 빨리 나오고 여기 계란말이도 짱좋 ㅠ 남친이랑 자주 감 ㅎㅎ,5
2018-07-09,최고예요,5
2018-06-30,보통이에요,3
2018-06-25,"메뉴들이 전반적으로 맛있고, 밥이랑 반찬이랑 무한리필인 점이 좋아요. 그리고 발렛파킹 서비스도 만족스럽습니다.",4
2018-06-16,"맛이 특별하지는 않지만 자꾸 가게 되는 단골집. 찌개와 계란말이, 직화구이를 함께 주문해서 먹으면 좋다.",3
2018-06-16,전체적으로 무난 좋아요~,4
2018-06-09,좋아요,4
2018-05-20,김치찌개.돼지불고기. 계란말이 모두 최고.발레가능,5
2018-04-25,좋아요,4
2018-02-21,조금 아쉬워요,2
2018-02-01,김치찌개 물이 너무 많음 고기 무난함 계란말이가 제일 나음,3
2018-01-23,좋아요,4
2018-01-03,김치찌개 최고~,5
2017-10-02,"계란말이 1위, 김치찌개 2위, 고기는 3위",4
2017-09-21,여기 김치찌개도 일품! 또 먹고프다~~,4
2017-09-01,보통이에요,3
2017-06-28,묵은지짱,5
2017-06-14,괜찮다. 별네개는 좀 애매한데. 불고기도 괜찮고 야채도 풍성 누룽지까지 제공되니 가격대비 양도많고 ,4
2017-04-17,좋아요,4
2017-03-11,최고예요,5
2017-02-05,보통이에요,3
2017-01-13,김치찌개 7천원.계란말이 7천원.돼지숯불구이 8천원/10:00~23:00,4
2016-11-05,좋아요,4
2016-07-30,집밥 먹고 싶을 때,3
2016-05-15,"김치찌개, 계란말이, 돼지고기구이",4
2016-04-20,십년전 맛있었던 집 특히 눈앞에서 바로 부치는 정성들인 계란말이!,5
2016-04-17,김치찌게,3
2016-04-12,김치찌게와 계란말이 공식에 충실한 집,3
2016-04-06,김치찌개 일부러 찾아올 정도는 아닌듯..,3
2016-04-01,한끼 떼웠네^^,3
2016-03-29,김치찌게 맛나는데 고기도 맛남.. ㅎ,4
2016-03-22,보통이에요,3
2016-03-20,좋아요,4
2016-03-16,김치찌개 계란말이,3
2016-03-14,좋아요,4
2016-03-13,보통이에요,3
2019-04-14,보통이에요,3
2019-03-05,좋아요,4
2019-02-10,좋아요,4
2019-01-16,"맛있다고 유명하길래 가봤어요. 김치찌개랑 고기,계란말이 다 시켜먹어봤는데...왜 유명한지 진짜 모르겠어요...김치찌개는 김칫국같고 고기는 그냥 불맛만 많이나고 가격에 비해 양도 그닥인것같고 계란말이도 그냥..ㅜㅜ",1
2018-10-01,보통이에요,3
2018-09-25,보통이에요,3
2018-09-25,계란말이가 탐스럽고 고소하다. 김치찌개도 새큼하니 제대로 된 맛을 내고 고기도 뺏어먹기 좋다.,3
2018-09-24,보통이에요,3
2018-09-21,계란말이 굿,4
2018-08-02,김치찌게 맛은 좋아요. 반찮은 단촐.. 어묵에 볶은김치. 마른김과 간장. ,4
2018-06-20,좋아요,4
2018-06-09,전반적인 음식은 최고라고 하긴 그렇지만 아주 훌륭합니다 특히 계란말이... 주차도 편하고... 발레파킹 비용도 없고....,4
2018-05-21,조금 아쉬워요,2
2018-05-14,보통이에요,3
2018-04-28,꼬기 + 찌게 는 LOVE임 계란은 음......,5
2018-03-11,보통이에요,3
2018-02-20,보통이에요,3
2018-02-10,별로예요,1
2018-02-07,보통이에요,3
2018-01-06,최고예요,5
2017-12-20,좋아요,4
2017-12-13,좋아요,4
2017-12-08,좋아요,4
2017-11-26,조금 아쉬워요,2
2017-10-30,보통이에요,3
2017-10-06,사람 입맛은  다틀림니다 내입맛 으로는  왜 유명한지 모르겠음,1
2017-09-16,최고예요,5
2017-08-30,맛나요,5
2017-08-13,리뷰보고 갔는데 진짜 개실망. 고기 찌개 계란말이 시켰었는데 하나같이 별로네요.  고기엔 숯불향이 아니라 가스맛이 배겨있고요 찌개는 맛은 나쁘지 않지만 내용물이 부실해요 계란말이는 특색없는 그냥 계란말이에요.  내부는 깔끔한 편이네요...,1
2017-08-11,최고예요,5
2017-08-09,최고예요,5
2017-07-30,김치찌개와 대왕계란말이가 다했다. 너무 맛있다,5
2017-07-08,국산 팥으로 만든 팥빙수는 최고...찹쌀떡은 원래 유명한 곳.,5
2017-05-29,여긴 계란말이 먹으러 가는 곳! 세상에 태어나서 먹어본 계란말이 중에 제일 맛있는듯 😋 다른 메뉴는 그냥 먹을만~  김치찌개가 뭔가 밍밍한게 김치국스러워서 밥이 잘 넘어가서 난 좋더라 ㅋㅋ  근데 김치찌개는 호불호가 많이 갈릴 스타일. 일반적인 찌개가 아니니까 칼칼하고 간간한게 입맛 돋구는 맛있음을 기대하지 말 것! 김치국 싫어하면 시키면 안됨.  24시...,5
2017-05-28,보통이에요,3
2017-04-01,좋아요,4
2017-03-28,김치찌개에 김치가 예술  김치볶음도 굿!!! ,4
2017-03-23,가격은 있지만 김치찌개를 맛나게 먹기에 괜찮다. 포장도 되고.,3
2017-03-17,김치찌개. 계란말이,4
2016-12-30,"2이가기 보단 3이가서 계란말이, 고기볶음, 묵은지 시켜서 드시고 부족하면 밥,  숭늉 무한리필로 채우면될 듯 합니다. 2이가서 3가지 시켜먹고 배터지는 줄 알았네요ㅎ",4
2016-12-10,찌개+구이+계란말이 조합 맛은 있는데 양이 너무 적다는 느낌.,3
2016-09-09,계란말이랑 김치찌개가 맛있어요!,4
2016-09-03,최고예요,5
2016-08-27,문뜩 땡길때가 많고 그냥 맛있어요,5
2016-08-16,좋아요,4
2016-08-10,좋아요,4
2016-08-08,보통이에요,3
2016-07-28,보통이에요,3
2016-07-21,최고예요,5
2016-07-17,보통이에요,3
2016-07-10,최고예요,5
2016-06-18,최고예요,5
2016-04-10,"계란말이, 돼지구이, 김치찌개 다 맛나기에 늘 손님이 많은 집.  발레 주차비도 무료이구요. 안타까운건 10시면 문을 닫아요",4
2016-04-02,애매한 늦은 시간 우리 부부의 저녁 식사 장소.,2
2016-04-01,전반적으로 괜찮음,3
2016-03-31,좋아요,4
2016-03-26,보통이에요,3
2016-03-21,김치찌게,3
2016-03-21,여기대체 왜 인기있는지 모르겟 ㅋㅋㅋㅋ 김치찌개 진짜 완전 별로 ㅡㅡ,2
2016-03-21,깔끔한 한끼,4
2016-03-17,포슬포슬 계란말이+김치찌개=밥 2공기,5
2016-03-16,좋아요,2
2016-03-16,"묵은지 김치찌개, 계란말이, 제육볶음 숭늉  이렇게 먹으면 끝! 맛있음!",4
2016-03-16,계란말이 숯불고기 김치찌개 세개를 다 시켜야해서 혼자가면 아쉬운곳 ㅋㅋ세 메뉴 모두 집밥이 그리워지는 맛,5
2016-03-15,"김치찌개,계란말이,제육볶음.  이상하게.. 별거 아닌메뉴인데 자꾸자꾸 생각나서 자꾸자꾸 가고싶음 ㅋ",5
2016-03-13,묵은지 김치찌개에 큼직한 계란말이 굿~~,3
2016-03-11,보통이에요,3
2016-03-09,맛집~,3
2016-02-05,"직장인 점심식사로 매우 훌륭하다. 묵은지 김치찌개와 제육볶음,  엄청 긴 계란말이가 매력적. 마무리는 꼭 누룽지로!",5
2015-11-27,김치찌개와 계란말이,0
2015-09-30,계란말이와 맛있는 김치찌게,0
2015-09-10,김치찌개,0
2015-06-30,김치가 땡길때 계란말이와,0
2015-06-24,장꼬방! 점심메뉴,0
2015-06-14,집밥이 생각날때~~^^,0
2015-03-24,말이.구이.찌개,0
2015-03-01,"계란말이, 김치찌게",0
2015-02-18,김치찌게,0
2015-02-07,great!,0
2015-02-02,한번가보고싶은곳.,0
2014-11-20,김치찌개 &계란말이~~^^,0
2014-09-26,묵은지 김치찌개와 계란말이의 환상적 궁합,0
2014-09-18,계란말이가 양이 많이나오고 정말 맛있어요!,0
2014-09-08,"할아버지, 할머니부터 유치원 아이까지 다 좋아라는 곳~",0
2014-09-08,계란말이...,0
2014-08-13,김치찌개,0
2014-08-12,김치찌개 + 계란말이 + 고기 다 맛있쪄♡,0
2014-08-07,커다란 계란말이,0
2014-08-04,서초동 김치찌개,0
2014-07-11,김치찌게,0
2014-07-07,먹을 만한거 없을때..,0
2014-06-24,계란말이최고,0
2014-05-29,김치찌게와 계란말이가 이렇게 합이 맞는구나!!!,0
2014-05-17,준영이가 데려가준 맛집~~,0
2014-05-15,김치,0
2014-05-05,김에 싸먹기,0
2014-04-11,김치찌개 계란말이,0
2014-04-02,김치찌개와 계란말이는 환상궁합!,0
2014-03-29,맛집의 세계!!,0
2014-03-24,김치찌개와 계란말이,0
2014-03-16,김치찌개.계란말이 제대로 하는 곳,0
2014-03-16,싸고 괜찮음,0
2014-03-15,24시간 김치찌게,0
2014-03-06,여기 너무 마싯썽! 무한 리필해주는 묵은지를 사들고 옴ㅋㅋ,0
2014-03-02,"김치찌게, 계란말이, 구이 다 맞있다",0
2014-02-26,"김치찌개,계란말이",0
2014-02-23,김치찌게 맛나용~,0
2014-02-08,김치찌개+계란말이+숯불구이,0
2014-02-06,김치찌개 앤 계란말이 굿굿 *.*,0
2014-02-06,김치찌개보다는 김치국에 가까운 찌개집이라 크게 내 취향은 아니다. 나는 묵은지에 얼큰하게 돼지고기 팍팍 썰어넣고 뭉근하게 끓여내 깊은 맛이 나는 김치찌개를 좋아하는 편.  계란말이는 맛있는 거 인정. 부드럽고 얇게 여러겹으로 두껍게 만 계란말이는 꽤 인상적이었다. 주말 아침 이른 시각부터도 식사하러 오는 어르신들이 많은 곳이라 인기 많은 식당인건 확실하다.,0
2014-01-24,김치찌게 맛있어요,0
2014-01-09,김치찌개가 너무 맛나~!! 돼지장작구이와 계란말이추가~!!! 24시간운영 언제라도 김치찌개를 맛볼수 있는곳,0
2014-01-02,24시 3년된묵은지 김찌~ 밥.반찬.숭늉 무한리필~ ^^,0
2013-12-18,ㅋ,0
2013-12-06,아무때나 김치찌개 먹고 싶을때 갈만하지만 맛이 아주 맛있는 것은 아님,0
2013-11-08,24시간. 맛은 평범.,0
2013-10-26,시골집 김치찌개 같은 엄청 묵은지 맛. 계란말이는 크로와상 스타일로. 난 아저씨 입맛이라 맛나게 잘먹음!,0
2013-10-23,양재동 장꼬방 - 묵은지 김치찌개 전문,0
2013-10-22,여기가고프다. . 안간지오래네~~같이오는고기와 계란말이~~추릅ㅠ_ㅠ,0
2013-10-19,최고의 김치찌게,0
2013-10-18,김치찌개+계란말이,0
2013-10-13,김치찌개와 계란말이가 맛있는 집. 언제나 사람들로 북적북적!,0
2013-10-02,장꼬방 묶은지,0
2013-09-22,"24시간 묵은지 전문 2명이서 구이 하나, 찌개 하나 주문하면 딱 일듯 맛은 있는데 모랄까... 느낌이 그냥 심심하다  나의 평가 : +++",0
2013-09-21,"장꼬방 서초 계란말이 : 7,000원 장꼬방 찌개(묵은 김치찌개) : 7,000원  친구이자, 훈남이자, 회사동료이자... C군과 함께~~",0
2013-09-18,김치찌게는~새콤달콤~,0
2013-09-17,난 도대체 김치찌개가 뭐가 맛있다는건지~~계란말이는 최고!,0
2013-09-16,김치찌개 좋구낭,0
2013-09-11,장꼬방 김치찌게 먹어본 사람만 그맛을 안다!  산지에 직접들어온 음식재료 서울 서초구에 가면 꼭 가보세요! 추천 합니다. ^^*  계란말이가 일품의 맛을 더합니다!,0
2013-09-02,저렴한 가격이지만 온식구가 넘맛나게 먹을수있음 김치찌개 는 시원한깊은맛이구 돼지고기구이는 우리딸이 완전좋아하구요 참 계란말이빠지면 섭섭하지요.,0
2013-08-30,회식,0
2013-08-29,이집 정말 맛있어요 ㅎㅎ  주차가능.,0
2013-08-27,장꼬방,0
2013-08-26,김치찌개머그러가야지,0
2013-08-26,양재역 근처 소주 한잔 먹으러 갈때.,0
2013-08-25,2013.8.24. 김치찌개 9.3 숯불구이 8.7 계란말이 8.9,0
2013-08-22,맛잇겟다 ㅠㅠ내밥상,0
2013-08-22,계란말이와 김치찌개,0
2013-08-18,가고있는중,0
2013-08-18,굿,0
2013-08-17,"지인의 소개로 알게된 묵은지로만든 장꼬방김치찌게  죄고! 계란말이,바싹불고기 완전맛나용^^",0
2013-08-16,가격대비 괜춘,0
2013-08-16,점심에 부담없이 해결할수 있는 곳~~~!!,0
2013-08-14,점심으로 무난 ㅎㅎ,0
2013-08-13,계란말이엄청좋아하는데 ..,0
2013-08-13,맛있쨩,0
2013-08-13,시원한김치찌게 고소한계란말이,0
2013-08-13,김치찌개 장난없음,0
2013-08-13,김치찌게? 국?머코싶다,0
2013-08-12,ㅎㅅㅎ,0
2013-08-12,가격대비 맛있어요 사람두 많구요 주차도 해죠서 편합니다,0
2013-08-12,국같은 김치찌게...,0
2013-08-11,맛집이래요,0
2013-08-11,찌개하나 구이하나 양파 많이 주세요,0
2013-08-11,가성비 쩌는 집...    3명 와서 김치찌개  계란말이  장작구이 1개씩 시키면 .. 끝남,0
2013-08-11,이근처에서 촬영하면 반드시 가는곳...맛나다,0
2013-08-11,밥한공기 뚝딱 김치찌개,0
2013-08-10,마이쪙,0
2013-08-10,김치찌개.계란말이.저장.못가봄.,0
2013-08-10,집밥조아,0
2013-08-10,집밥,0
2013-08-10,김치찌게 와 계란말이가  짱,0
2013-08-09,김치찌개,0
2013-08-09,가보고싶다,0
2013-08-09,김치찌게 시큼하면서도 깊은 맛~ 김만 싸먹어도 최고~ 계란말이 대박~ 구이 하나 시키면 밥 두공기 ㅋ,0
2013-08-09,계란말이 착착착,0
2013-08-08,가고 말테다 ㅋ,0
2013-08-08,김치찌게하면 이곳을~원츄(^0^)~♪,0
2013-08-08,김치찌개  맛나요!,0
2013-08-08,김치찌개 전문,0
2013-08-08,갔다온곳,0
2013-08-08,:),0
2013-08-08,괜찮은집,0
2013-08-08,"김치찌개, 불고기 가격: ☆★★★★ 맛: ☆★★★★ 서비스: ☆☆☆★★ 분위기: ☆☆☆★★",0
2013-08-08,김치찌개 밥 비벼서 구운김 한장 올려먹음.쵝오. 고기두 맛나고 가격도 훈훈함.ㅋ,0
2013-08-08,야구끝나고 자주 가던집~~ㅋㅋ,0
2013-08-07,김치찌게,0
2013-08-07,김치쮜개,0
2013-08-06,김치찌개,0
2013-08-06,김치찌개와 계란말이,0
2013-08-01,3번,0
2013-07-30,꼭 머거야쥐~~^^,0
2013-07-25,김치찌개 계란말이,0
2013-07-22,김치찌게,0
2013-07-21,김치에 밥만 먹어도 맛있는 집.,0
2013-07-09,부담없이~ ^^,0
2013-07-09,단언컨데 이집 계란말이는 꼭한번 먹어봐야합니다ㅎㅎ 평범한듯 하면서도 절대 쉽게 따라할 수 없는 맛! 배울수만 있다면 365일내내 계란말이만 해먹을거야 엉엉,0
2013-07-08,ㅁ,0
2013-07-04,밥 숭늉 무제한,0
2013-07-03,김치찌개. 계란말이. 숯불돼지고기,0
2013-07-01,김치찌개와 돼지불백 맛난집. 24시,0
2013-06-26,"김치찌개와 계란말이,숯불돼지고기.. 둘이가도 무조검 3인분 시켜야 .. 다 먹어야해. 하나라도 놓치기 아까워.",0
2013-06-22,계란말이가 아주 얇게 돌돌 말린 크레페스러운 비쥬얼.,0
2013-06-15,좋고!,0
2013-06-14,묵은지 김치찌개. 24시,0
2013-06-07,김치찌게 ㅎㅎ,0
2013-05-19,계란말이 맛나넹!,0
2013-05-19,맛잇옹~ 속풀이 히히,0
2013-05-10,서울,0
2013-05-09,맛나는데...,0
2013-05-06,오오 밥 두그릇은 뚝딱비울수있는 곳,0
2013-05-01,집앞에 있는 김치찌개 전문점 여기 계란말이도 맛남!,0
2013-04-28,직화구이 원츄,0
2013-04-18,*김치찌개,0
2013-04-13,24시간 김치찌개와 계란말이 그리고 직화구이 야식으론 최고!,0
2013-04-08,김치찌게,0
2013-04-06,김치찌개,0
2013-04-05,남부터미널 10년된 김치찌개,0
2013-04-03,여긴 아침식사도 가능  묵은지김치찌게 중 최고였음ㅎㅎ,0
2013-04-02,장꼬방김치찌개,0
2013-03-25,김치찌게 계란말이 맛집,0
2013-03-23,예전에 자주 갔었는데~ 김치찌개와 계란말이 환상의 궁합 ㅋ,0
2013-03-21,반찬도 맛있음,0
2013-03-21,묵은지 김치찌개가 메인이며 숯불고기도 추천. 계란말이까지 3가지의 메뉴가 전부이지만 다 괜찮은 퀄리티. 가격은 7-8000원,0
2012-11-14,가보진 않았지만 항상 사람들이 바글바글한 곳,0
2012-11-14,김치찌개,2
2015-05-23,( 숯검댕이처럼 작은 검게탄 물질들은 대표적인 발암물질이잖아요) 그래서 맛집이라고 지인들을 데리고 간 내가 아주 무안하였습니다.  그전에는 안그랬는데.. 최근 계속 이런걸보니 가마솥 담당 직원이 바뀌었나 봅니다. 직원들 교육 제대로 해서.. 맛집으로 번창하시길 바랍니다. 감사합니다.,2
2015-05-23,사장님 보세요^^.   단골집이라 안타까운 마음에 조언 하나 올립니다.  가마솥을 매일 수시로 세척해야 하는데....  24시간 영업하다보니 세척을 못하고 누룽지만 계속 리필하는지..ㅠㅠ  누룽지가 눌러 붙어 검게 탄 그을음(숯처럼 까맣게 )이 엄청 떠다닙니다.  작은 숯검뎅이때문 누룽지를 먹을 수가 없습니다.,5
2012-06-18,정말좋아 맛과 가격 국물맛도 넘무좋아,4
2012-01-22,나름대로 맛있었어요! 간편하게먹을만해요.,0
2010-04-17,적당히 매콤하면서 단맛 신맛 개운한맛 밸런스가 잘맞는 찌개.  숯불구이도 일품.  일주일에 한번은 꼭먹어요  ,5
2010-03-27,묶은 김치찌개집 중 가장 맘에 드는 곳. 숭늉 셀프.,5
